"","yield","pheno_2","pheno_3"
"DS11-64048",302.461155101696,1241.71019179609,145.995354946203
"DS11-06093",302.430831491576,1142.05180859503,122.859030806652
"DS11-48108",283.158581757012,1082.81901728999,139.412232924517
"DS11-27170",226.585154612312,1362.82921067311,146.475340530327
"DS11-23176",357.038672013692,1075.14189832883,145.137641538046
"DS11-27188",292.627760019252,955.768605634438,131.26451510638
"DS11-22111",300.144915942049,1272.96788659243,170.363073072374
"DS11-24146",345.389518799187,1018.12328333322,134.984504900637
"DS11-02169",295.521005828076,869.105839480372,103.617878207095
"DS11-32099",339.378780789758,865.680206406717,125.475727323691
"DS12-18051",212.745108984331,732.531601132086,144.028357356283
"DS11-05001",369.951151787026,1159.66758000801,161.628571795263
"DS11-29086",293.318138695412,909.152008713643,94.4431826503117
"DS11-04002",358.058928782248,1054.03055080904,130.844771590486
"DS11-54145",257.835081324614,941.42404416346,114.340687841909
"DS11-15161",303.859968751169,925.359993215336,129.962707958118
"DS11-33187",332.342833634921,942.180923235121,120.654654225771
"DS11-09167",215.698515457823,1054.54406899784,144.181720163533
"DS11-30167",253.865280476757,938.946595285868,157.185497666594
"DS11-42010",312.687706038778,842.127853332496,112.41104164777
"DS11-32158",307.292040771819,854.516037463114,152.954033214927
"DS11-22177",288.741363398294,719.498280798167,126.858585985271
"DS11-03202",299.896635549306,1149.1841736156,159.498198018036
"DS11-10158",347.539467543496,1266.40339270215,175.283005570103
"DS12-18055",355.862540753249,989.125338448509,146.363297357305
"DS11-22023",303.646351505466,1008.62419057386,145.570002303212
"DS11-41238",230.586288582531,1076.48040148074,83.5399215644488
"DS11-54170",350.317066566029,985.913020319453,142.146595200808
"DS11-50186",321.422635091839,910.805486900186,162.548461447097
"DS11-17212",284.811234817229,1031.09505890816,129.490770975467
"DS11-33119",334.088916535064,1092.66070657925,141.818773924922
"DS11-30153",296.113719440898,762.832163168092,150.7709719548
"DS11-31003",311.97219497785,873.690773032001,118.466748927364
"DS11-15065",222.654513599065,941.562512201842,128.014426623809
"DS11-17127",264.428439036582,877.628026402291,155.187329559845
"DS11-09069",224.538597231084,884.642848689551,119.209593031104
"DS11-50228",346.941298589588,1112.33395885802,138.085421870051
"DS11-54162",218.004961757159,843.784281146256,119.155535129261
"DS11-11167",313.806850540103,864.861688507972,152.702512296243
"DS11-25165",256.309980295551,926.153945747146,144.530288973085
"DS11-34018",340.573089602305,1060.0955853879,144.761211955875
"DS11-33135",310.854065315904,1178.15897961529,183.577700899426
"DS11-04039",386.207983230844,1328.01737428632,124.197279839299
"DS11-36125",323.232836397964,853.590544262069,172.782381431875
"DS11-50297",205.442631923934,911.238372708755,124.009771542843
"DS11-32143",243.859708014386,1012.89127556621,143.595447768541
"DS11-40043",314.18560171639,952.418151360923,160.094671366909
"DS11-42006",352.943189371018,925.355607663088,142.889634262192
"DS11-23110",352.304887247006,1097.17010676517,156.632289382027
"DS11-11046",249.10848009934,955.26780409107,123.672404082704
